acairim ancairím
acar-pholl acarpholl
acarsuidhe acarshuí
acaruighthe ancairithe
acfuinneach acmhainneach
achmhusánaim achasánaím
achrannaim achrannaím
ailim oilim
aill-bhruachach aillbhruachach
ainceasach aincheasach
ain-ghean an-ghean
ainshearc ainsearc
ainteasach ainteasaí
áird-earlahh ardéarlamh
áird-gheon ardgheon
áird-innmhe ardinmhe
áird-innmheach ardinmheach
áird-intinn ardintinn
áird-leaba ardleaba
áird-léim ardléim
áird-mhiangus ardmhiangas
áird-reacht ardreacht
áird-reann ardrinn
áird-réimeach ardréimeach
áird-ríoghdha ardríoga
áird-stiuradh ardstiúradh
áird-stiuire ardstiúrthóir
áird-thriatha ardtriath
áird-thriathach ardtriathach
airightheoir airitheoir
airm-chrios armchrios
airm-neart armneart
ais-éirghim aiséirím
aiththreabadh atreabhadh
alaim oilim
allmhurdhacht allúracht
anaim fanaim
anbhlasadh an-bhlaiseadh
androbhlás an-drabhlás
aoin-chiall aonchiall
aoin-dícheall aondícheall
aol-bhrat aolbhrat
aol-chrothach aolchruthach
árd-ollamhantacht ardollúnacht
athsháileadh athshailleadh
bacánaim bacánaím
bain-teachtaire banteachtaire
báirr-dhias barrdhias
báirr-dhíon barrdhíon
baoith-ghein baothghinte
baoith-sceinm baothscinneadh
beirbhighis beirbhís
buan-chara buanchara
cóimhbheirim comhbheirim
cóimhbhith comhbhith
cóimhbhriseadh comhbhriseadh
cóimhbhrisim comhbhrisim
cóimhcheaduighim comhcheadaím
cóimhcheannach comhcheannach
cóimhcheannacht comhcheannach
cóimhchéile comhchéile
cóimhchéimnighim comhchéimním
cóimhcheoluidhe comhcheoltóir
cóimhchinéal comhchineál
cóimhchrith comhchrith
cóimhchrithim comhchrithim
cóimhdhearg comhdhearg
cóimhdhíochra comhdhíochra
cóimhdhíreach comhdhíreach
cóimhéascaidh comhéasca
cóimheascáirdeas comheascairdeas
cóimhéifeachtach comhéifeachtach
cóimhéigeantach comhéigeantach
cóimhéilightheoir comhéilitheoir
cóimheitil comheitilt
cóimheolach comheolach
cóimhfheadhain comhfheadhain
cóimhfhear comhfhear
cóimhfheardha comhfhearga
cóimhfhiadhnaise comhfhianaise
cóimhfhighim comhfhím
cóimhfhliuch comhfhliuch
cóimhghlic comhghlic
cóimhiadhta comhiata
cóimhimirce comhimirce
cóimhiongantach comhiontach
cóimhíseal comhíseal
cóimhlíonmhar comhlíonmhar
cóimhlíontóir comhlíontóir
cóimhphianadh comhphianadh
cóimhphléasc comhphléasc
cóimhréabaim comhréabaim
cóimhréalt comhréalta
cóimhreamhar comhramhar
cóimhreang comhreang
cóimhréimeas comhréimeas
cóimhréimnighim comhréimním
cóimhriaraim comhriaraim
cóimhrithim comhrithim
cóimhsheirbhíseach comhsheirbhíseach
cóimhshíneadh comhshíneadh
cóimhshínim comhshínim
cóimhshínte comhshínte
cóimhshreang comhshreang
cóimhthionólaim comhthionólaim
cóimhthriall comhthriail
cóimhthriall comhthriall
cómhargain comhargain
cómhbhagraim comhbhagraím
cómhbhráithreach comhbhráithreach
cómhbhuaidhrim comhbhuairim
cómhchaidrim comhchaidrím
cómhchantracht comhchantaireacht
cómhchnaoidhim comhchnaím
cómhchrathaim comhchroithim
cómhóglachas comhóglachas
cómhdhathach comhdhathach
cómhdhoilgheas comhdhoilíos
cómhfhogusach comhfhogasach
cómhgháirdeach comhghairdeach
cómhghluasacht comhghluaiseacht
cómhghul comhghol
cómhmhaoidhim cómhaím
cómhmharthanach cómharthanach
cómhmholaim cómholaim
cómhmhór cómhór
cómhroinneadóir comhrannadóir
cómhsanntach comhshantach
cómhshruthadh comhshruth
comhthroscacht comhthroscadh
cosmhailim cosúlaím
cotuighim cotaím
deagh-mhaiseach dea-mhaisiúil
doi-bhriseadh dobhriseadh
doi-chreidsin dochreidiúint
doi-léimnighe doléimneach
doi-shínte doshínte
droich-mheanma drochmheanma
facht fócht
fachtaim fóchtaim
fíor-laoch fíorlaoch
fíor-tharngaire fíorthairngreacht
fír-bheatha fíorbheatha
fír-dheas fíordheas
fír-dhílis fíordhílis
fír-eolach fíoreolach
fír-fhéachaint fíorfhéachaint
fír-fheis fíorfheis
fír-ghéar fíorghéar
fír-ghlic fíorghlic
fír-íochtar fíoríochtar
fír-íochtrach fíoríochtarach
fír-leamh fíorleamh
foir-bhriathar forbhriathar
foir-bhriathrach forbhriathrach
foir-fhiafruighe forfhiafraí
foir-ghiobal forghiobal
foir-neartuighim forneartaím
foir-shéideadh forshéideadh
foir-theagasc fortheagasc
iair-bhreith iarbhreith
iair-fhéar iarfhéar
iodhal-adhraim íoladhraim
iolchruaidh ilchrua
iolchumhachtach ilchumhachtach
iolfhaobhar ilfhaobhar
iolfhoghlumtha ilfhoghlamtha
iolghráinneach ilghráinneach
iolghránna ilghránna
iolghránnacht ilghránnacht
iolmhaoin ilmhaoin
iomadhall imadhall
iomchaol imchaol
iomchasaoid imchasaoid
iomchlódh imchloí
iomdhaingean imdhaingean
iomdhoimhin imdhomhain
iomorduighim imordaím
iomshruth imshruth
iomthnúthóir imthnúthach
iomthrom imthrom
iondúileamhail indúilmhear
iondúileamhail indúilmhear
mío-chádhasach míchásach
mío-thaomach míthaomach
naoimh-chist naomhchiste
naoimh-chleachtadh naomhchleachtadh
naoimh-dhéanamh naomhdhéanamh
naoimh-ghním naomhdhéanaim
naoimh-reacht naomhreacht
naoimh-shearcas naomhshearc
naoimh-theist naomhthéacs
naoimh-thréigsin naomhthréigean
naomh-choisreagadh naomhchoisreacan
naomh-choisreagaim naomhchoisricim
neamh-choisreagtha neamhchoisricthe
naomh-mhalluighim naomh-mhallaím
naomh-mhallughadh naomh-mhallú
naomh-thaisc naomhthaisce
neimh-bhéasach neamhbhéasach
neimh-bheodhacht neamhbheochan
neimh-bhríoghmhaireacht neamhbhríomhaireacht
neimh-bhríoghmhar neamhbhríomhar
neimh-chealgach neamhchealgach
neimh-cheannairceach neamhcheannairceach
neimh-cheannsa neamhcheansa
neimh-cheannsacht neamhcheansacht
neimh-chéillidhe neamhchéillí
neimh-dhílis neamhdhílis
neimh-dhíomhaoin neamhdhíomhaoin
neimh-fhial neamhfhial
neimh-fhíoch neamhfhíoch
neimh-fhíor neamhfhíor
neimh-ghean neamhghean
neimh-gheanmnaidheacht neamhgheanmnaíocht
neimh-ghein neamhghin
neimh-ghile neamhghile
neimh-ghlic neamhghlic
neimh-iomarcach neamhiomarcach
neimh-iomchubhaidh neamhiomchuí
neimh-mheathta neamh-mheata
neimh-mheisneach neamh-mhisneach
neimhneacha nimhneacha
neimh-neartmhar neamhneartmhar
neimh-riaghail neamhriail
neimh-sheachantach neamhsheachantach
neimh-sheadh neamhshea
neimh-sheargtha neamhsheargtha
neimh-the neamhthe
neimh-theas neamhtheas
rígh-fhiadhuidhe rífhiagaí
ríobóidim ríobóidím
ríogh-bhoth ríbhoth
ríogh-bhrugh ríbhrugh
ríogh-choróin ríchoróin
ríogh-churadh ríchuradh
ríogh-dháil rídháil
ríogh-dhámh rídhámh
ríogh-fháidh rífháidh
ríogh-fhuil rífhuil
ríoghlách rílaoch
ríoghlann rílann
ríogh-laoch rílaoch
ríogh-nathair rínathair
ríogh-phort ríphort
ríogh-ráth ríráth
ríogh-ród ríród
ríogh-ruathar ríruathar
ríogh-ughdar rí-údar
ríribh dáiríre
rói-cheannsa róchion
rói-dhíleas ródhílis
rói-líonmhar rólíonmhar
rói-mhéad rómhéad
rói-neart róneart
ruadh-bhuidhe ruabhuí
so-chroidhtheacht sochroíocht
soi-bhéas sobhéas
soi-chéadfadh sochéadfa
soi-chinéal sochineál
soi-chinéaltas sochineáltas
