Abrán Aibreán
Aifreannacha Aifrinn
Aifrinntí Aifrinn
Beáltaine Bealtaine
Breathnach Breatnach
Breathnais Breatnais
Caitiliceach Caitliceach
Caitilicí Caitliceach
Caitlicí Caitliceach
Catoilice Caitliceach
Catoiliceach Caitliceach
Catoiliceachas Caitliceachas
Catoiliceacht Caitliceacht
Catoilicí Caitliceach
Cingcís Cincís
Cingcíseach Cincíseach
Coimhdhe Coimdhe
Comaoin Comaoineach
Comaoine Comaoin
Comaoineach Comaoine
Connartach Connachtach
Críosta Críost
Cásc Cásca
Céadaoine Céadaoin
Cóimhdhe Coimdhe
Dardaoin Déardaoin
Diardaoin Déardaoin
Déardaoine Déardaoin
Déardaoineach Déardaoin
Eabhra Eabhrais
Eabhraíoch Eabhrach
Eadáilis Iodáilis
Eadáineach Iodálach
Eadáinis Iodáilis
Eadálach Iodálach
Easpáineach Spáinneach
Froinsiasach Proinsiasach
Froinsiascánach Proinsiasach
Gaedheal Gael
Gaedhealach Gaelach
Gaedhealaing Gaeilge
Gaedhealg Gaeilge
Gaedhilg Gaeilge
Gaedhilge Gaeilge
Gaedhilgeoir Gaeilgeoir
Gaeilic Gaeilge
Gaelainn Gaeilge
Gailleach Gallach
Galltacht Galldachas
Gaoidheal Gael
Gaoidhealg Gaeilge
Gaolainn Gaeilge
Gréag Gréagach
Gréigeach Gréagach
Iúdach Giúdach
Iúdachas Giúdachas
Laidean Laidin
Laidinigh Laidineach
Laidne Laidine
Laidneachas Laidineacht
Lughnasa Lúnasa
Lúna Lúnasa
Lúnasna Lúnasa
Mathamadach Mahamadach
Mathamadachas Mahamadachas
Mitheamh Meitheamh
Márt Máirt
Nodlaig Nollaig
Nollaigeacha Nollaigí
Olltach Ultach
Pailitíneach Palaitíneach
Pairisíneach Fairisíneach
Poncánach Poncán
Protastún Protastúnach
Rudhraigheacht Rúraíocht
Rúiseánach Rúiseach
Sacsanach sasanach
Satán Sátan
Spáinnéarach Spáinneach
Tuirceach Turcach
a a
a as
ab an
abadh aba
abaid aibíd
abaidh aibí
abaidheacht aibíocht
abaigh aibigh
abail bail
abairteach abartha
abarthach abartha
abdhaine abacht
abha abhainn
abhail bail
abhaitis amhtais
abhall abhaill
abhallghort úllord
abhanta aibhneacha
abhcóid abhcóir
abhcóidíocht abhcóideacht
abhlord úllord
abhna abhann
abhra fabhra
abhrasóir abhraiseach
abhrán amhrán
abhógadh abhógacht
abracha abair
abradh deireadh
abrann deir
abraíodh deireadh
abraíonn deir
abróchaidh déarfaidh
absalóid aspalóid
abstaine abstanaid
abstal aspal
abstalda aspalda
abuil bail
abóraidh déarfaidh
abúil aibí
abúlacht aibíocht
acaire acra
acaire ancaire
acais aicis
acaiseach aiciseach
acaistear acastóir
acaoineach acaointeach
acar acra
acara acra
acarach acrach
acfainn acmhainn
acfuinn acmhainn
achaine achainí
achainí achainíocha
achan gach aon
achar achairt
achlán ochlán
achmair achomair
achmhusán achasán
achomair achomaireacht
achomaire achomaireacht
achomaireach achomair
achranntúil achrannach
acht ach
acmhainneach acaointeach
acordán cairdín
ad do do
adaigh fadaigh
adamant adhmaint
adaí úd
adchídh feiceann
adeir deir
adhaigh oíche
adhain adhaint
adhaintigh adhain
adhaircín adharcán
adhaltranach adhaltrach
adhaltras adhaltranas
adhaltraí adhaltrach
adhaltraíocht adhaltranas
adhamaint adhmaint
adhamas adhmaint
adhann oigheann
adhanta adhainte
adhar oighear
adharcán fadharcán
adharcánach fadharcánach
adharcóg adharcán
adhart adhairt
adhart iarta
adhb fadhb
adhbairne fadhbairne
adhbha adhbh
adhbhacóide abhcóide
adhbhacóideacht abhcóideacht
adhbhailleach ábhailleach
adhbhaillí ábhaillí
adhbhal ábhal
adhbhann ábhann
adhbhar ábhar
adhbharaíocht fabhraíocht
adhbhardha ábhartha
adhbhóg abhóg
adhfhuathmhaire adhfhuafaireacht
