a-choidhche choíche
abarthar deirtear
abeadh ab ea
abhain abhainn
abhnacha aibhneacha
abraighidh abraigí
abruigheadh deireadh
acfainneach acmhainneach
acfuineach acmhainneach
acha acu
acharnach achrannach
achranach achrannach
achranacha achrannacha
acmhuineach acmhainneach
acmhuingeach acmhainneach
ad-chluinim-se cloisimse
adbhálach admhálach
adchí feiceann
adearfá déarfá
adeirean deir
adeirinn-se deirinnse
adeuradh deireadh
adeuradh déarfadh
adeurainn déarfainn
adeurainn-sé déarfainnse
adharcadh adharcáil
adhbharach ábhartha
adhlaicthe adhlactha
adhraim-se adhraimse
adhraimíd-ne adhraimidne
admhachtáil admháil
admhughadh admháil
adubharamar dúramar
adubhart-sa dúirt mise
adubharthas a dúradh
adubhrais a dúirt tú
adubhrais dúirt tú
adubhras-sa dúirt mise
adubhraís a dúirt tú
adéaradh déarfadh
adú-bhradar dúradar
adúbhradar dúradar
adúbhradh dúradh
aedhearach aerach
aerúil aerach
aeurach aerach
againn-na againne
aghaig aghaidh
aghsáideach aosáideach
aghus agus
aglach eanglach
agsúil ag súil
aibghitreach aibítreach
aibhleach úllach
aibhlighe aibhléise
aibig aibí
aidhmhillte adhmhillte
aidhminiúil aidhmeannach
aidí dhaidí
Aifrin Aifrinn
Aifrion Aifreann
aigion-tach aigeanta
aigiontach aigeanta
aillteach aillte
ailltreach aillte
Aimeirocánach Meiriceánach
aimhdeachtáil admháil
aimhdeáil admháil
aimhdheóin ainneoin
aimhréasacha amhrasacha
aimhréidhseach aimhréidh
aimneochadh ainmneodh
aimsearach aimseartha
ainach amach
ainbhfhiosach ainbhiosach
ainbhfíosach ainbhiosach
aindeóntach ainneonach
aindlightheach aindleathach
aingealaibh aingil
aingiol aingeal
ainiar aniar
ainime ainm
ainimnigh ainmnigh
ainimnighadh ainmniú
ainimnighthe ainmnithe
ainimniú ainmniú
ainirthe anraith
ainmhíthe ainmhithe
ainmidhthe ainmhithe
ainng-ciseach ainciseach
ainttasdach ainteastach
airciseach araiciseach
airgeadach airgeadúil
airgheann airíonn
airghim airím
airgideach airgeadúil
airig airigh
airigead airgead
airigheas-sa airigh mise
airighim-se airímse
airighimse airímse
airighinn-se airínnse
airightí airítí
airthe uirthi
airthí uirthi
airíghdar airíodar
airíghim áirím
aiseirighthe aiséirithe
aistiriú aistriú
aistriúghchán aistriúchán
aith-giorrach aicearrach
aith-ioncholnuighthe athionchollaithe
aith-ioncholnú athionchollú
