ain-ghean an-ghean
beirbhighis beirbhís
cóimhbheirim comhbheirim
cóimhbhith comhbhith
cóimhbhriseadh comhbhriseadh
cóimhbhrisim comhbhrisim
cóimhcheaduighim comhcheadaím
cóimhcheannach comhcheannach
cóimhcheannacht comhcheannach
cóimhchéile comhchéile
cóimhchéimnighim comhchéimním
cóimhcheoluidhe comhcheoltóir
cóimhchinéal comhchineál
cóimhchrith comhchrith
cóimhchrithim comhchrithim
cóimhdhearg comhdhearg
cóimhdhíochra comhdhíochra
cóimhdhíreach comhdhíreach
cóimhéascaidh comhéasca
cóimheascáirdeas comheascairdeas
cóimhéifeachtach comhéifeachtach
cóimhéigeantach comhéigeantach
cóimhéilightheoir comhéilitheoir
cóimheitil comheitilt
cóimheolach comheolach
cóimhfheadhain comhfheadhain
cóimhfhear comhfhear
cóimhfheardha comhfhearga
cóimhfhiadhnaise comhfhianaise
cóimhfhighim comhfhím
cóimhfhliuch comhfhliuch
cóimhghlic comhghlic
cóimhiadhta comhiata
cóimhimirce comhimirce
cóimhiongantach comhiontach
cóimhíseal comhíseal
cóimhlíonmhar comhlíonmhar
cóimhlíontóir comhlíontóir
cóimhphianadh comhphianadh
cóimhphléasc comhphléasc
cóimhréabaim comhréabaim
cóimhréalt comhréalta
cóimhreamhar comhramhar
cóimhreang comhreang
cóimhréimeas comhréimeas
cóimhréimnighim comhréimním
cóimhriaraim comhriaraim
cóimhrithim comhrithim
cóimhsheirbhíseach comhsheirbhíseach
cóimhshíneadh comhshíneadh
cóimhshínim comhshínim
cóimhshínte comhshínte
cóimhshreang comhshreang
cóimhthionólaim comhthionólaim
cóimhthriall comhthriail
cóimhthriall comhthriall
cómhargain comhargain
deagh-mhaiseach dea-mhaisiúil
doi-bhriseadh dobhriseadh
doi-chreidsin dochreidiúint
doi-léimnighe doléimneach
doi-shínte doshínte
droich-mheanma drochmheanma
fíor-laoch fíorlaoch
fír-bheatha fíorbheatha
fír-dheas fíordheas
fír-dhílis fíordhílis
fír-eolach fíoreolach
fír-fhéachaint fíorfhéachaint
fír-fheis fíorfheis
fír-ghéar fíorghéar
fír-ghlic fíorghlic
fír-íochtar fíoríochtar
fír-íochtrach fíoríochtarach
fír-leamh fíorleamh
foir-bhriathar forbhriathar
foir-bhriathrach forbhriathrach
foir-fhiafruighe forfhiafraí
foir-ghiobal forghiobal
foir-neartuighim forneartaím
foir-shéideadh forshéideadh
foir-theagasc fortheagasc
iair-bhreith iarbhreith
iair-fhéar iarfhéar
iolchruaidh iarchrua
iolchumhachtach ilchumhachtach
iolfhaobhar ilfhaobhar
iolfhoghlumtha ilfhoghlamtha
iolghráinneach ilghráinneach
iolghránna ilghránna
iolghránnacht ilghránnacht
iolmhaoin ilmhaoin
iomadhall imadhall
iomchaol imchaol
iomchasaoid imchasaoid
iomchlódh imchloí
iomdhaingean imdhaingean
iomdhoimhin imdhomhain
iomorduighim imordaím
iomshruth imshruth
iomthnúthóir imthnúthach
iomthrom imthrom
iondúileamhail indúilmhear
iondúileamhail indúilmhear
mío-chádhasach míchásach
mío-thaomach míthaomach
neamh-choisreagtha neamhchoisricthe
neimh-bhéasach neamhbhéasach
neimh-bheodhacht neamhbheochan
neimh-bhríoghmhaireacht neamhbhríomhaireacht
neimh-bhríoghmhar neamhbhríomhar
neimh-chealgach neamhchealgach
neimh-cheannairceach neamhcheannairceach
neimh-cheannsa neamhcheansa
neimh-cheannsacht neamhcheansacht
neimh-chéillidhe neamhchéillí
neimh-dhílis neamhdhílis
neimh-dhíomhaoin neamhdhíomhaoin
neimh-fhial neamhfhial
neimh-fhíoch neamhfhíoch
neimh-fhíor neamhfhíor
neimh-ghean neamhghean
neimh-gheanmnaidheacht neamhgheanmnaíocht
neimh-ghein neamhghin
neimh-ghile neamhghile
neimh-ghlic neamhghlic
neimh-iomarcach neamhiomarcach
neimh-iomchubhaidh neamhiomchuí
neimh-mheathta neamhmheata
neimh-mheisneach neamhmhisneach
neimhneacha nimhneacha
neimh-neartmhar neamhneartmhar
neimh-riaghail neamhriail
neimh-sheachantach neamhsheachantach
neimh-sheadh neamhshea
neimh-sheargtha neamhsheargtha
neimh-the neamhthe
neimh-theas neamhtheas
rígh-fhiadhuidhe rífhiagaí
ríogh-bhoth ríbhoth
ríogh-bhrugh ríbhrugh
ríogh-choróin ríchoróin
ríogh-churadh ríchuradh
ríogh-dháil rídháil
ríogh-dhámh rídhámh
ríogh-fháidh rífháidh
ríogh-fhuil rífhuil
ríoghlách rílaoch
ríoghlann rílann
ríogh-laoch rílaoch
ríogh-nathair rínathair
ríogh-phort ríphort
ríogh-ráth ríráth
ríogh-ród ríród
ríogh-ruathar ríruathar
ríribh dáiríre
rói-cheannsa róchion
rói-dhíleas ródhílis
rói-líonmhar rólíonmhar
rói-mhéad rómhéad
rói-neart róneart
soi-bhéas sobhéas
soi-chéadfadh sochéadfa
soi-chinéal sochineál
soi-chinéaltas sochineáltas
soi-chreideamh sochreideamh
soi-chreidmheach sochreidmheach
soi-chreidsin sochreidiúint
soi-leas soleas
soi-mhian somhian
soi-mhilis somhilis
soi-réidh soréidh
soi-riartha soriartha
soi-riarthacht soriarthach
soi-shínteacht soshínteach
treasuighim treasaím
